id,restaurant_id,serve_type_id,meal_type_id,hot_cold,meal_name,price
131,12,3,2,Hot,Meal 131,21.74
132,12,1,1,Cold,Meal 132,40.36
133,12,3,2,Cold,Meal 133,32.49
134,12,2,1,Cold,Meal 134,41.07
135,12,1,3,Hot,Meal 135,37.63
136,13,2,4,Cold,Meal 136,39.91
137,13,2,2,Cold,Meal 137,24.43
138,13,2,4,Cold,Meal 138,50.87
139,13,2,1,Hot,Meal 139,59.27
140,13,2,2,Hot,Meal 140,38.05
141,13,1,1,Hot,Meal 141,76.28
142,13,3,1,Cold,Meal 142,39.87
143,13,3,1,Cold,Meal 143,52.28
144,13,3,2,Hot,Meal 144,42.89
145,13,1,1,Hot,Meal 145,64.21
146,13,3,2,Cold,Meal 146,33.5
147,14,3,1,Cold,Meal 147,34.45
148,14,3,1,Hot,Meal 148,60.31
149,14,3,1,Cold,Meal 149,32.65
150,14,2,1,Cold,Meal 150,31.28
151,14,1,3,Hot,Meal 151,33.52
152,14,1,2,Hot,Meal 152,64.49
153,14,2,4,Cold,Meal 153,31.66
154,14,3,1,Hot,Meal 154,27.42
155,14,3,1,Hot,Meal 155,46.09
156,14,3,1,Hot,Meal 156,30.8
157,14,3,2,Hot,Meal 157,50.61
158,14,2,2,Cold,Meal 158,66.87
159,14,2,4,Cold,Meal 159,48.95
160,14,1,3,Hot,Meal 160,33.6
161,14,1,2,Hot,Meal 161,26.38
162,14,1,2,Cold,Meal 162,40.31
163,15,3,1,Hot,Meal 163,52.89
164,15,2,3,Hot,Meal 164,35.57
165,15,1,1,Hot,Meal 165,24.35
166,15,2,1,Hot,Meal 166,57.71
167,15,3,2,Hot,Meal 167,29.42
168,15,3,1,Hot,Meal 168,34.7
169,15,3,1,Hot,Meal 169,40.0
170,15,2,3,Hot,Meal 170,57.23
171,15,3,1,Cold,Meal 171,64.95
172,15,2,4,Cold,Meal 172,36.7
173,15,3,2,Hot,Meal 173,39.36
174,15,3,2,Hot,Meal 174,34.14
175,15,2,4,Cold,Meal 175,59.55
176,16,2,2,Cold,Meal 176,39.0
177,16,2,2,Cold,Meal 177,30.36
178,16,2,4,Cold,Meal 178,47.61
179,16,1,3,Cold,Meal 179,41.84
180,16,2,4,Cold,Meal 180,73.63
181,16,1,4,Cold,Meal 181,76.35
182,16,2,1,Hot,Meal 182,32.18
183,16,2,2,Cold,Meal 183,39.19
184,16,1,3,Cold,Meal 184,75.68
185,16,3,2,Cold,Meal 185,23.77
186,16,2,2,Hot,Meal 186,77.94
187,16,3,1,Cold,Meal 187,51.18
188,16,3,2,Cold,Meal 188,39.23
189,16,1,2,Hot,Meal 189,39.87
190,17,1,3,Cold,Meal 190,35.48
191,17,2,1,Hot,Meal 191,23.8
192,17,1,4,Hot,Meal 192,45.48
193,17,1,3,Hot,Meal 193,66.93
194,17,1,2,Hot,Meal 194,55.07
195,17,1,4,Cold,Meal 195,47.03
196,17,3,1,Hot,Meal 196,29.02
197,17,3,1,Cold,Meal 197,44.93
198,17,3,1,Hot,Meal 198,30.39
199,17,3,1,Cold,Meal 199,39.13
200,17,3,2,Hot,Meal 200,53.43
201,17,1,2,Cold,Meal 201,34.3
202,17,1,3,Cold,Meal 202,66.82
203,17,3,2,Hot,Meal 203,53.37
204,17,3,2,Hot,Meal 204,51.12
205,18,2,1,Cold,Meal 205,75.18
206,18,3,1,Hot,Meal 206,41.0
207,18,2,3,Cold,Meal 207,58.87
208,18,2,2,Hot,Meal 208,50.46
209,18,3,2,Hot,Meal 209,80.6
210,18,2,2,Hot,Meal 210,36.2
211,18,2,2,Hot,Meal 211,56.7
212,18,2,3,Cold,Meal 212,34.18
213,18,1,3,Hot,Meal 213,25.1
214,18,3,1,Hot,Meal 214,46.06
215,19,2,1,Hot,Meal 215,60.38
216,19,1,2,Cold,Meal 216,31.17
217,19,3,2,Hot,Meal 217,31.06
218,19,2,4,Cold,Meal 218,22.77
219,19,3,1,Hot,Meal 219,31.92
220,19,2,3,Cold,Meal 220,38.96
221,19,3,1,Cold,Meal 221,54.48
222,19,1,4,Cold,Meal 222,69.41
223,19,1,1,Hot,Meal 223,33.84
224,19,3,2,Cold,Meal 224,35.25
225,19,3,2,Cold,Meal 225,32.07
226,20,2,4,Hot,Meal 226,46.74
227,20,1,4,Hot,Meal 227,56.46
228,20,3,2,Hot,Meal 228,72.46
229,20,2,3,Cold,Meal 229,29.48
230,20,3,2,Hot,Meal 230,57.75
231,20,1,1,Cold,Meal 231,70.33
232,20,3,1,Cold,Meal 232,74.62
233,20,3,1,Cold,Meal 233,24.78
234,20,2,1,Hot,Meal 234,33.68
235,20,1,2,Hot,Meal 235,52.75
236,20,1,2,Hot,Meal 236,80.37
237,20,2,3,Cold,Meal 237,37.54
238,20,2,4,Cold,Meal 238,55.34
239,21,3,1,Cold,Meal 239,33.95
240,21,1,3,Cold,Meal 240,47.27
241,21,2,1,Cold,Meal 241,48.14
242,21,3,2,Hot,Meal 242,43.34
243,21,1,1,Cold,Meal 243,54.01
244,21,3,1,Hot,Meal 244,79.67
245,21,3,2,Cold,Meal 245,48.31
246,21,3,2,Hot,Meal 246,64.13
247,21,3,2,Hot,Meal 247,33.08
248,21,3,2,Cold,Meal 248,42.85
249,21,3,1,Cold,Meal 249,22.42
250,21,3,2,Hot,Meal 250,38.73
251,21,1,3,Hot,Meal 251,35.12
252,21,1,3,Hot,Meal 252,34.29
253,22,3,2,Cold,Meal 253,44.22
254,22,1,3,Cold,Meal 254,21.83
255,22,2,1,Cold,Meal 255,40.22
256,22,3,1,Hot,Meal 256,26.59
257,22,1,3,Cold,Meal 257,26.8
258,22,3,1,Cold,Meal 258,45.06
259,22,2,2,Hot,Meal 259,31.27
260,22,2,2,Hot,Meal 260,33.09
261,22,2,1,Hot,Meal 261,50.34
262,22,2,3,Cold,Meal 262,79.91
263,23,3,2,Cold,Meal 263,27.99
264,23,1,2,Hot,Meal 264,31.63
265,23,1,1,Cold,Meal 265,24.81
266,23,2,3,Cold,Meal 266,31.82
267,23,3,1,Cold,Meal 267,37.24
268,23,3,1,Cold,Meal 268,38.83
269,23,2,3,Hot,Meal 269,80.02
270,23,3,1,Cold,Meal 270,48.23
271,23,1,1,Cold,Meal 271,66.05
272,23,3,2,Cold,Meal 272,36.65
273,23,3,1,Hot,Meal 273,30.97
274,24,2,4,Hot,Meal 274,40.37
275,24,2,1,Cold,Meal 275,29.33
276,24,1,3,Cold,Meal 276,30.68
277,24,3,1,Hot,Meal 277,49.56
278,24,1,2,Hot,Meal 278,66.41
279,24,2,1,Hot,Meal 279,78.12
280,24,2,1,Cold,Meal 280,44.1
281,24,2,2,Hot,Meal 281,35.94
282,24,1,2,Cold,Meal 282,43.71
283,24,3,2,Cold,Meal 283,47.49
284,25,1,2,Cold,Meal 284,39.04
285,25,3,2,Hot,Meal 285,36.41
286,25,1,3,Hot,Meal 286,31.71
287,25,3,2,Cold,Meal 287,32.3
288,25,3,2,Cold,Meal 288,30.79
289,25,3,1,Hot,Meal 289,27.51
290,25,2,2,Cold,Meal 290,46.79
291,25,3,1,Hot,Meal 291,41.41
292,25,3,2,Cold,Meal 292,39.21
293,25,1,3,Hot,Meal 293,32.13
294,25,1,1,Hot,Meal 294,35.57
295,25,3,2,Hot,Meal 295,66.53
296,25,2,4,Cold,Meal 296,33.64
297,25,3,1,Cold,Meal 297,75.19
298,25,3,2,Hot,Meal 298,33.51
299,26,2,3,Hot,Meal 299,47.86
300,26,3,2,Hot,Meal 300,31.69
301,26,2,4,Hot,Meal 301,75.87
302,26,3,1,Cold,Meal 302,44.08
303,26,3,1,Hot,Meal 303,48.23
304,26,3,2,Hot,Meal 304,20.5
305,26,3,2,Hot,Meal 305,59.26
306,26,3,2,Hot,Meal 306,72.61
307,26,2,2,Hot,Meal 307,66.85
308,26,3,1,Hot,Meal 308,42.32
309,26,2,3,Cold,Meal 309,45.59
310,26,2,1,Hot,Meal 310,28.9
311,27,1,2,Hot,Meal 311,30.53
312,27,1,1,Hot,Meal 312,46.8
313,27,1,1,Cold,Meal 313,46.59
314,27,3,1,Hot,Meal 314,53.19
315,27,2,3,Cold,Meal 315,76.58
316,27,1,4,Cold,Meal 316,54.72
317,27,2,1,Cold,Meal 317,35.57
318,27,2,2,Cold,Meal 318,33.33
319,27,1,2,Hot,Meal 319,79.51
320,28,3,1,Hot,Meal 320,40.61
321,28,2,2,Cold,Meal 321,30.66
322,28,3,2,Hot,Meal 322,60.79
323,28,1,2,Hot,Meal 323,38.43
324,28,3,1,Hot,Meal 324,32.91
325,28,2,2,Hot,Meal 325,35.23
326,28,2,2,Cold,Meal 326,40.98
327,28,1,2,Cold,Meal 327,36.71
328,28,3,1,Hot,Meal 328,33.92
329,28,1,2,Cold,Meal 329,24.43
330,29,1,1,Cold,Meal 330,65.33
331,29,2,3,Hot,Meal 331,28.25
332,29,1,3,Hot,Meal 332,30.08
333,29,2,2,Cold,Meal 333,23.32
334,29,2,4,Hot,Meal 334,47.46
335,29,2,4,Hot,Meal 335,62.57
336,29,2,2,Cold,Meal 336,40.45
337,30,2,4,Cold,Meal 337,31.79
338,30,2,2,Cold,Meal 338,51.91
339,30,1,1,Cold,Meal 339,72.47
340,30,3,1,Cold,Meal 340,48.03
341,30,1,4,Cold,Meal 341,52.0
342,30,1,2,Cold,Meal 342,76.28
343,30,1,4,Hot,Meal 343,36.11
344,30,2,1,Hot,Meal 344,24.19
345,30,1,4,Cold,Meal 345,43.08
346,30,3,1,Cold,Meal 346,68.34
347,30,2,2,Hot,Meal 347,70.82
348,30,1,1,Cold,Meal 348,37.15
349,30,2,1,Cold,Meal 349,54.51
350,30,2,3,Cold,Meal 350,59.53
